# This file was produced by bcftools stats (1.24+htslib-1.24) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  results/variants/NIST7035_filtered_variants.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	results/variants/NIST7035_filtered_variants.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
#
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
#
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	283102
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	249261
SN	0	number of MNPs:	0
SN	0	number of indels:	33879
SN	0	number of others:	0
SN	0	number of multiallelic sites:	757
SN	0	number of multiallelic SNP sites:	60
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	149710	99611	1.50	149656	99518	1.50
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	72374	46949	25425	12558	0	0	12558
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	72374	46949	25425	12558	0	0	12558
AF	0	0.990000	176947	102761	74186	21859	0	0	21859
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	464.6	40	29	11	0
QUAL	0	465.0	40	28	12	4
QUAL	0	465.6	40	31	9	4
QUAL	0	466.0	35	30	5	4
QUAL	0	466.2	1	0	1	0
QUAL	0	466.6	56	35	21	3
QUAL	0	466.8	1	1	0	0
QUAL	0	466.9	1	1	0	0
QUAL	0	467.0	37	22	15	2
QUAL	0	467.3	1	1	0	0
QUAL	0	467.6	48	34	14	6
QUAL	0	468.0	32	22	10	2
QUAL	0	468.6	45	31	14	7
QUAL	0	468.7	0	0	0	1
QUAL	0	469.0	30	23	7	4
QUAL	0	469.3	1	1	0	0
QUAL	0	469.6	45	28	17	8
QUAL	0	470.0	34	23	11	8
QUAL	0	470.6	44	25	19	4
QUAL	0	470.9	0	0	0	1
QUAL	0	471.0	28	18	10	5
QUAL	0	471.1	1	0	1	0
QUAL	0	471.2	1	1	0	0
QUAL	0	471.6	46	33	13	1
QUAL	0	471.9	0	0	0	1
QUAL	0	472.0	26	18	8	8
QUAL	0	472.6	52	36	16	5
QUAL	0	472.7	1	0	1	0
QUAL	0	473.0	33	22	11	7
QUAL	0	473.2	0	0	0	1
QUAL	0	473.6	56	41	15	0
QUAL	0	473.9	1	1	0	0
QUAL	0	474.0	31	21	10	3
QUAL	0	474.6	43	30	13	6
QUAL	0	474.8	2	2	0	0
QUAL	0	474.9	3	2	1	0
QUAL	0	475.0	25	21	4	10
QUAL	0	475.6	46	27	19	9
QUAL	0	475.9	1	0	1	0
QUAL	0	476.0	30	21	9	4
QUAL	0	476.3	1	0	1	0
QUAL	0	476.6	42	29	13	5
QUAL	0	477.0	23	16	7	1
QUAL	0	477.6	37	25	12	4
QUAL	0	478.0	22	16	6	1
QUAL	0	478.3	1	1	0	0
QUAL	0	478.6	45	29	16	3
QUAL	0	478.9	1	0	1	0
QUAL	0	479.0	20	12	8	2
QUAL	0	479.3	1	1	0	0
QUAL	0	479.6	42	31	11	5
QUAL	0	479.9	1	0	1	0
QUAL	0	480.0	29	17	12	2
QUAL	0	480.6	35	20	15	1
QUAL	0	480.9	1	1	0	0
QUAL	0	481.0	70	45	25	27
QUAL	0	481.6	47	33	14	6
QUAL	0	482.0	23	18	5	4
QUAL	0	482.6	46	35	11	0
QUAL	0	482.9	0	0	0	1
QUAL	0	483.0	30	18	12	0
QUAL	0	483.1	0	0	0	1
QUAL	0	483.6	44	34	10	1
QUAL	0	483.9	0	0	0	1
QUAL	0	484.0	29	22	7	2
QUAL	0	484.6	40	31	9	4
QUAL	0	484.8	0	0	0	1
QUAL	0	485.0	37	21	16	3
QUAL	0	485.6	39	24	15	1
QUAL	0	486.0	26	18	8	1
QUAL	0	486.6	33	26	7	2
QUAL	0	486.7	1	0	1	0
QUAL	0	487.0	36	25	11	2
QUAL	0	487.6	50	42	8	2
QUAL	0	487.9	1	0	1	0
QUAL	0	488.0	21	15	6	3
QUAL	0	488.1	1	0	1	0
QUAL	0	488.6	33	24	9	3
QUAL	0	489.0	26	17	9	1
QUAL	0	489.6	36	26	10	1
QUAL	0	490.0	18	12	6	3
QUAL	0	490.4	1	0	1	0
QUAL	0	490.6	60	37	23	5
QUAL	0	491.0	26	15	11	2
QUAL	0	491.2	1	0	1	0
QUAL	0	491.6	46	30	16	2
QUAL	0	491.9	2	2	0	0
QUAL	0	492.0	20	14	6	1
QUAL	0	492.3	1	0	1	0
QUAL	0	492.6	39	31	8	4
QUAL	0	492.7	1	1	0	0
QUAL	0	493.0	24	15	9	1
QUAL	0	493.6	46	32	14	11
QUAL	0	493.9	0	0	0	1
QUAL	0	494.0	31	24	7	7
QUAL	0	494.6	45	36	9	4
QUAL	0	494.9	1	0	1	1
QUAL	0	495.0	18	10	8	1
QUAL	0	495.6	37	25	12	6
QUAL	0	495.9	1	1	0	0
QUAL	0	496.0	28	22	6	0
QUAL	0	496.5	1	1	0	0
QUAL	0	496.6	45	35	10	9
QUAL	0	497.0	23	14	9	1
QUAL	0	497.3	1	1	0	0
QUAL	0	497.6	31	21	10	4
QUAL	0	497.7	1	0	1	0
QUAL	0	497.9	1	1	0	0
QUAL	0	498.0	27	17	10	3
QUAL	0	498.6	40	28	12	6
QUAL	0	499.0	19	12	7	4
QUAL	0	499.6	41	30	11	5
QUAL	0	500.0	16	9	7	1
QUAL	0	500.6	26	20	6	1
QUAL	0	500.7	1	1	0	0
QUAL	0	500.8	1	0	1	0
QUAL	0	500.9	0	0	0	1
QUAL	0	501.0	30	16	14	2
QUAL	0	501.3	1	0	1	0
QUAL	0	501.6	31	21	10	2
QUAL	0	501.9	1	1	0	0
QUAL	0	502.0	24	13	11	1
QUAL	0	502.6	51	33	18	2
QUAL	0	503.0	23	11	12	7
QUAL	0	503.6	38	28	10	3
QUAL	0	504.0	22	17	5	0
QUAL	0	504.3	1	1	0	0
QUAL	0	504.6	33	25	8	1
QUAL	0	505.0	26	20	6	3
QUAL	0	505.6	31	26	5	6
QUAL	0	506.0	34	24	10	3
QUAL	0	506.1	1	1	0	0
QUAL	0	506.2	1	0	1	0
QUAL	0	506.6	34	23	11	8
QUAL	0	507.0	32	21	11	4
QUAL	0	507.1	1	1	0	0
QUAL	0	507.6	27	23	4	4
QUAL	0	508.0	39	30	9	3
QUAL	0	508.6	42	27	15	8
QUAL	0	508.9	1	1	0	0
QUAL	0	509.0	26	18	8	2
QUAL	0	509.3	1	1	0	0
QUAL	0	509.4	1	1	0	0
QUAL	0	509.6	33	24	9	1
QUAL	0	509.9	1	0	1	0
QUAL	0	510.0	39	26	13	4
QUAL	0	510.6	43	39	4	6
QUAL	0	511.0	30	22	8	6
QUAL	0	511.3	1	1	0	0
QUAL	0	511.6	44	32	12	5
QUAL	0	512.0	31	19	12	3
QUAL	0	512.5	1	1	0	0
QUAL	0	512.6	40	27	13	1
QUAL	0	512.8	0	0	0	1
QUAL	0	513.0	25	18	7	3
QUAL	0	513.6	48	33	15	4
QUAL	0	514.0	21	14	7	9
QUAL	0	514.6	42	27	15	7
QUAL	0	515.0	30	27	3	4
QUAL	0	515.6	25	16	9	1
QUAL	0	516.0	30	23	7	3
QUAL	0	516.6	47	28	19	0
QUAL	0	517.0	43	31	12	4
QUAL	0	517.6	40	24	16	4
QUAL	0	518.0	19	7	12	3
QUAL	0	518.6	35	27	8	2
QUAL	0	519.0	34	21	13	3
QUAL	0	519.6	38	29	9	0
QUAL	0	519.9	1	0	1	0
QUAL	0	520.0	20	15	5	5
QUAL	0	520.2	0	0	0	1
QUAL	0	520.6	52	38	14	1
QUAL	0	521.0	25	17	8	3
QUAL	0	521.1	1	0	1	0
QUAL	0	521.6	34	24	10	8
QUAL	0	522.0	24	16	8	3
QUAL	0	522.6	38	30	8	1
QUAL	0	522.9	1	1	0	0
QUAL	0	523.0	29	19	10	0
QUAL	0	523.2	1	0	1	0
QUAL	0	523.6	36	24	12	6
QUAL	0	523.9	1	0	1	0
QUAL	0	524.0	24	18	6	3
QUAL	0	524.6	21	12	9	2
QUAL	0	525.0	30	23	7	1
QUAL	0	525.1	1	0	1	0
QUAL	0	525.6	33	25	8	1
QUAL	0	526.0	68	42	26	32
QUAL	0	526.6	52	37	15	1
QUAL	0	527.0	29	13	16	2
QUAL	0	527.1	0	0	0	1
QUAL	0	527.6	38	23	15	2
QUAL	0	527.9	1	0	1	0
QUAL	0	528.0	26	18	8	1
QUAL	0	528.6	45	25	20	2
QUAL	0	529.0	28	19	9	0
QUAL	0	529.6	44	36	8	4
QUAL	0	530.0	33	20	13	0
QUAL	0	530.1	1	0	1	1
QUAL	0	530.6	38	27	11	1
QUAL	0	530.8	1	1	0	1
QUAL	0	531.0	25	19	6	0
QUAL	0	531.2	1	1	0	1
QUAL	0	531.6	36	32	4	1
QUAL	0	532.0	21	13	8	4
QUAL	0	532.6	36	30	6	8
QUAL	0	533.0	19	13	6	1
QUAL	0	533.6	40	26	14	4
QUAL	0	533.8	1	0	1	1
QUAL	0	533.9	2	2	0	0
QUAL	0	534.0	24	19	5	1
QUAL	0	534.6	33	26	7	0
QUAL	0	534.7	1	1	0	0
QUAL	0	535.0	23	16	7	1
QUAL	0	535.5	1	1	0	0
QUAL	0	535.6	42	30	12	4
QUAL	0	535.8	0	0	0	1
QUAL	0	535.9	1	1	0	0
QUAL	0	536.0	25	17	8	4
QUAL	0	536.6	36	23	13	4
QUAL	0	536.9	1	1	0	0
QUAL	0	537.0	21	17	4	3
QUAL	0	537.5	1	1	0	0
QUAL	0	537.6	39	32	7	3
QUAL	0	538.0	24	15	9	1
QUAL	0	538.6	33	26	7	7
QUAL	0	538.8	2	1	1	0
QUAL	0	539.0	28	21	7	3
QUAL	0	539.6	44	29	15	2
QUAL	0	540.0	29	23	6	1
QUAL	0	540.6	37	25	12	4
QUAL	0	540.7	1	0	1	0
QUAL	0	540.9	1	1	0	1
QUAL	0	541.0	26	20	6	3
QUAL	0	541.6	28	23	5	1
QUAL	0	541.9	1	1	0	0
QUAL	0	542.0	27	21	6	0
QUAL	0	542.1	1	1	0	0
QUAL	0	542.6	34	23	11	2
QUAL	0	543.0	18	14	4	2
QUAL	0	543.6	44	27	17	3
QUAL	0	543.9	1	1	0	0
QUAL	0	544.0	24	15	9	3
QUAL	0	544.6	27	18	9	5
QUAL	0	545.0	21	14	7	3
QUAL	0	545.6	25	16	9	0
QUAL	0	545.7	0	0	0	1
QUAL	0	546.0	20	12	8	1
QUAL	0	546.6	28	17	11	1
QUAL	0	546.9	1	1	0	0
QUAL	0	547.0	26	19	7	3
QUAL	0	547.1	1	1	0	0
QUAL	0	547.6	36	27	9	9
QUAL	0	547.8	1	1	0	0
QUAL	0	548.0	26	20	6	6
QUAL	0	548.6	31	22	9	0
QUAL	0	549.0	19	13	6	1
QUAL	0	549.6	40	33	7	4
QUAL	0	550.0	25	20	5	1
QUAL	0	550.6	44	32	12	3
QUAL	0	551.0	30	17	13	4
QUAL	0	551.6	42	32	10	2
QUAL	0	552.0	18	13	5	2
QUAL	0	552.6	33	24	9	3
QUAL	0	552.9	0	0	0	1
QUAL	0	553.0	33	23	10	3
QUAL	0	553.6	29	22	7	2
QUAL	0	554.0	30	26	4	3
QUAL	0	554.6	36	29	7	3
QUAL	0	555.0	20	15	5	1
QUAL	0	555.5	1	0	1	0
QUAL	0	555.6	35	26	9	3
QUAL	0	556.0	23	18	5	3
QUAL	0	556.1	1	1	0	0
QUAL	0	556.6	38	31	7	4
QUAL	0	556.8	0	0	0	1
QUAL	0	557.0	30	20	10	8
QUAL	0	557.6	27	21	6	1
QUAL	0	558.0	25	15	10	3
QUAL	0	558.6	23	12	11	2
QUAL	0	559.0	25	23	2	2
QUAL	0	559.6	34	23	11	1
QUAL	0	559.9	1	1	0	0
QUAL	0	560.0	28	20	8	4
QUAL	0	560.6	27	20	7	2
QUAL	0	561.0	33	27	6	3
QUAL	0	561.6	30	23	7	5
QUAL	0	562.0	25	14	11	2
QUAL	0	562.6	39	25	14	5
QUAL	0	563.0	25	20	5	0
QUAL	0	563.6	35	24	11	1
QUAL	0	563.9	1	0	1	0
QUAL	0	564.0	20	12	8	0
QUAL	0	564.6	42	28	14	3
QUAL	0	565.0	22	12	10	1
QUAL	0	565.6	26	14	12	5
QUAL	0	565.9	1	0	1	0
QUAL	0	566.0	28	22	6	3
QUAL	0	566.6	32	24	8	1
QUAL	0	567.0	29	21	8	6
QUAL	0	567.6	35	24	11	2
QUAL	0	568.0	33	28	5	0
QUAL	0	568.6	35	25	10	1
QUAL	0	569.0	16	10	6	1
QUAL	0	569.6	35	27	8	0
QUAL	0	570.0	39	31	8	1
QUAL	0	570.6	32	23	9	2
QUAL	0	571.0	88	57	31	24
QUAL	0	571.6	41	32	9	2
QUAL	0	571.9	1	1	0	0
QUAL	0	572.0	22	16	6	5
QUAL	0	572.6	32	24	8	1
QUAL	0	572.9	0	0	0	1
QUAL	0	573.0	21	15	6	2
QUAL	0	573.6	31	23	8	0
QUAL	0	574.0	21	15	6	0
QUAL	0	574.4	2	1	1	0
QUAL	0	574.6	33	21	12	3
QUAL	0	575.0	27	19	8	2
QUAL	0	575.6	33	21	12	1
QUAL	0	575.7	1	0	1	0
QUAL	0	575.8	0	0	0	1
QUAL	0	576.0	29	21	8	3
QUAL	0	576.6	35	27	8	2
QUAL	0	577.0	17	12	5	1
QUAL	0	577.6	42	28	14	4
QUAL	0	578.0	24	21	3	4
QUAL	0	578.6	25	17	8	0
QUAL	0	579.0	27	22	5	2
QUAL	0	579.6	32	21	11	0
QUAL	0	579.9	0	0	0	1
QUAL	0	580.0	27	15	12	1
QUAL	0	580.6	39	26	13	2
QUAL	0	580.8	2	0	2	0
QUAL	0	580.9	1	1	0	0
QUAL	0	581.0	30	22	8	2
QUAL	0	581.6	21	15	6	2
QUAL	0	582.0	32	26	6	4
QUAL	0	582.6	33	26	7	1
QUAL	0	582.9	1	1	0	0
QUAL	0	583.0	25	20	5	2
QUAL	0	583.6	43	27	16	5
QUAL	0	583.9	1	1	0	0
QUAL	0	584.0	34	24	10	3
QUAL	0	584.6	33	21	12	2
QUAL	0	585.0	27	19	8	5
QUAL	0	585.2	1	0	1	0
QUAL	0	585.6	36	26	10	4
QUAL	0	586.0	18	15	3	3
QUAL	0	586.6	41	29	12	2
QUAL	0	586.9	0	0	0	1
QUAL	0	587.0	29	22	7	4
QUAL	0	587.6	34	25	9	0
QUAL	0	587.9	1	1	0	0
QUAL	0	588.0	20	14	6	3
QUAL	0	588.6	23	19	4	2
QUAL	0	589.0	21	15	6	1
QUAL	0	589.6	24	15	9	3
QUAL	0	589.9	1	0	1	0
QUAL	0	590.0	15	10	5	4
QUAL	0	590.6	21	19	2	3
QUAL	0	591.0	21	14	7	1
QUAL	0	591.4	1	1	0	0
QUAL	0	591.6	25	16	9	1
QUAL	0	591.9	1	0	1	0
QUAL	0	592.0	18	11	7	1
QUAL	0	592.6	39	29	10	4
QUAL	0	592.9	1	0	1	0
QUAL	0	593.0	28	17	11	3
QUAL	0	593.2	0	0	0	1
QUAL	0	593.6	27	21	6	3
QUAL	0	593.9	1	1	0	0
QUAL	0	594.0	25	14	11	3
QUAL	0	594.6	29	21	8	0
QUAL	0	594.7	1	1	0	0
QUAL	0	595.0	17	13	4	1
QUAL	0	595.6	35	28	7	4
QUAL	0	596.0	30	17	13	0
QUAL	0	596.6	27	18	9	2
QUAL	0	596.9	0	0	0	1
QUAL	0	597.0	21	14	7	2
QUAL	0	597.3	1	1	0	0
QUAL	0	597.6	19	12	7	3
QUAL	0	598.0	25	22	3	2
QUAL	0	598.4	2	1	1	0
QUAL	0	598.6	21	15	6	4
QUAL	0	598.9	1	1	0	1
QUAL	0	599.0	20	13	7	3
QUAL	0	599.6	23	13	10	1
QUAL	0	600.0	21	16	5	2
QUAL	0	600.6	27	18	9	3
QUAL	0	601.0	26	16	10	1
QUAL	0	601.6	30	21	9	3
QUAL	0	602.0	20	9	11	2
QUAL	0	602.2	1	1	0	0
QUAL	0	602.6	39	30	9	3
QUAL	0	603.0	37	25	12	1
QUAL	0	603.6	35	27	8	4
QUAL	0	603.9	1	0	1	0
QUAL	0	604.0	25	16	9	2
QUAL	0	604.6	28	19	9	3
QUAL	0	604.7	1	1	0	0
QUAL	0	605.0	25	19	6	2
QUAL	0	605.6	33	23	10	0
QUAL	0	606.0	26	22	4	2
QUAL	0	606.6	34	23	11	1
QUAL	0	607.0	27	20	7	3
QUAL	0	607.6	39	22	17	3
QUAL	0	608.0	28	18	10	5
QUAL	0	608.3	1	1	0	0
QUAL	0	608.6	29	17	12	0
QUAL	0	608.9	1	1	0	0
QUAL	0	609.0	30	20	10	5
QUAL	0	609.6	18	9	9	2
QUAL	0	609.9	1	1	0	0
QUAL	0	610.0	26	21	5	2
QUAL	0	610.6	27	17	10	2
QUAL	0	611.0	23	18	5	0
QUAL	0	611.6	29	20	9	1
QUAL	0	612.0	21	16	5	1
QUAL	0	612.6	27	16	11	3
QUAL	0	613.0	22	14	8	2
QUAL	0	613.6	35	26	9	5
QUAL	0	613.7	1	1	0	0
QUAL	0	613.9	0	0	0	1
QUAL	0	614.0	18	15	3	3
QUAL	0	614.6	16	10	6	0
QUAL	0	615.0	24	13	11	3
QUAL	0	615.6	30	26	4	2
QUAL	0	616.0	52	28	24	12
QUAL	0	616.3	1	0	1	0
QUAL	0	616.6	29	22	7	3
QUAL	0	617.0	27	21	6	2
QUAL	0	617.6	38	26	12	5
QUAL	0	618.0	14	8	6	1
QUAL	0	618.6	11	8	3	6
QUAL	0	619.0	17	14	3	3
QUAL	0	619.6	31	21	10	5
QUAL	0	620.0	17	12	5	1
QUAL	0	620.4	2	2	0	1
QUAL	0	620.6	33	26	7	2
QUAL	0	621.0	25	18	7	0
QUAL	0	621.1	1	0	1	0
QUAL	0	621.6	20	12	8	4
QUAL	0	622.0	26	20	6	2
QUAL	0	622.6	31	25	6	4
QUAL	0	622.9	1	0	1	1
QUAL	0	623.0	22	11	11	4
QUAL	0	623.6	30	22	8	1
QUAL	0	624.0	26	15	11	2
QUAL	0	624.6	19	10	9	0
QUAL	0	625.0	19	13	6	4
QUAL	0	625.6	29	19	10	4
QUAL	0	626.0	23	17	6	2
QUAL	0	626.6	18	10	8	3
QUAL	0	627.0	21	18	3	0
QUAL	0	627.6	22	12	10	0
QUAL	0	628.0	14	9	5	3
QUAL	0	628.6	29	20	9	3
QUAL	0	629.0	24	13	11	3
QUAL	0	629.6	24	19	5	0
QUAL	0	630.0	24	19	5	3
QUAL	0	630.6	28	19	9	1
QUAL	0	631.0	20	15	5	5
QUAL	0	631.6	26	21	5	3
QUAL	0	632.0	13	10	3	1
QUAL	0	632.6	22	18	4	1
QUAL	0	633.0	27	19	8	2
QUAL	0	633.6	30	21	9	2
QUAL	0	634.0	22	12	10	2
QUAL	0	634.6	23	15	8	2
QUAL	0	635.0	22	15	7	0
QUAL	0	635.6	31	21	10	0
QUAL	0	636.0	25	16	9	1
QUAL	0	636.6	21	15	6	0
QUAL	0	637.0	18	13	5	2
QUAL	0	637.6	29	16	13	4
QUAL	0	638.0	26	17	9	2
QUAL	0	638.6	25	18	7	2
QUAL	0	639.0	17	12	5	4
QUAL	0	639.6	20	16	4	1
QUAL	0	640.0	33	26	7	0
QUAL	0	640.6	34	28	6	2
QUAL	0	641.0	31	19	12	3
QUAL	0	641.6	32	26	6	3
QUAL	0	642.0	18	16	2	3
QUAL	0	642.6	29	20	9	1
QUAL	0	643.0	27	22	5	4
QUAL	0	643.6	31	17	14	7
QUAL	0	644.0	20	16	4	1
QUAL	0	644.6	19	15	4	0
QUAL	0	644.9	1	1	0	0
QUAL	0	645.0	19	10	9	0
QUAL	0	645.6	31	20	11	1
QUAL	0	646.0	42	33	9	5
QUAL	0	646.6	28	20	8	5
QUAL	0	647.0	33	17	16	3
QUAL	0	647.6	21	16	5	2
QUAL	0	647.9	0	0	0	1
QUAL	0	648.0	20	15	5	4
QUAL	0	648.6	17	11	6	3
QUAL	0	648.9	0	0	0	1
QUAL	0	649.0	24	17	7	2
QUAL	0	649.6	29	19	10	5
QUAL	0	649.9	0	0	0	1
QUAL	0	650.0	24	18	6	1
QUAL	0	650.6	17	10	7	1
QUAL	0	651.0	28	14	14	3
QUAL	0	651.6	23	13	10	2
QUAL	0	651.9	0	0	0	1
QUAL	0	652.0	32	20	12	0
QUAL	0	652.6	26	18	8	2
QUAL	0	653.0	31	24	7	5
QUAL	0	653.1	1	1	0	0
QUAL	0	653.6	30	22	8	1
QUAL	0	654.0	31	20	11	1
QUAL	0	654.1	0	0	0	1
QUAL	0	654.6	25	14	11	1
QUAL	0	655.0	29	19	10	5
QUAL	0	655.6	31	16	15	1
QUAL	0	656.0	30	22	8	1
QUAL	0	656.1	1	1	0	0
QUAL	0	656.6	24	16	8	4
QUAL	0	657.0	25	18	7	3
QUAL	0	657.6	23	14	9	4
QUAL	0	658.0	25	18	7	6
QUAL	0	658.6	23	18	5	2
QUAL	0	659.0	32	28	4	4
QUAL	0	659.1	1	0	1	0
QUAL	0	659.6	20	14	6	2
QUAL	0	660.0	15	10	5	1
QUAL	0	660.6	17	10	7	1
QUAL	0	661.0	53	31	22	22
QUAL	0	661.6	29	23	6	3
QUAL	0	662.0	14	10	4	3
QUAL	0	662.6	27	19	8	0
QUAL	0	663.0	30	22	8	5
QUAL	0	663.6	32	23	9	4
QUAL	0	664.0	24	16	8	1
QUAL	0	664.6	24	17	7	3
QUAL	0	665.0	35	23	12	1
QUAL	0	665.6	27	19	8	2
QUAL	0	666.0	25	16	9	3
QUAL	0	666.6	19	13	6	1
QUAL	0	667.0	19	13	6	2
QUAL	0	667.1	0	0	0	1
QUAL	0	667.6	18	14	4	0
QUAL	0	668.0	21	15	6	1
QUAL	0	668.6	28	19	9	1
QUAL	0	669.0	16	10	6	0
QUAL	0	669.6	20	13	7	2
QUAL	0	670.0	20	18	2	2
QUAL	0	670.6	26	17	9	3
QUAL	0	671.0	14	8	6	2
QUAL	0	671.6	18	14	4	0
QUAL	0	672.0	17	14	3	2
QUAL	0	672.1	1	0	1	0
QUAL	0	672.6	29	12	17	2
QUAL	0	673.0	19	15	4	2
QUAL	0	673.6	32	25	7	2
QUAL	0	674.0	20	17	3	5
QUAL	0	674.6	22	12	10	2
QUAL	0	675.0	21	19	2	2
QUAL	0	675.1	1	0	1	0
QUAL	0	675.6	29	21	8	0
QUAL	0	676.0	23	17	6	0
QUAL	0	676.6	17	12	5	6
QUAL	0	677.0	30	22	8	2
QUAL	0	677.6	24	20	4	1
QUAL	0	678.0	20	15	5	1
QUAL	0	678.6	34	25	9	1
QUAL	0	678.8	2	1	1	0
QUAL	0	679.0	24	16	8	2
QUAL	0	679.6	30	27	3	2
QUAL	0	680.0	28	16	12	3
QUAL	0	680.1	1	1	0	0
QUAL	0	680.6	34	20	14	1
QUAL	0	681.0	19	16	3	0
QUAL	0	681.6	24	20	4	1
QUAL	0	682.0	15	9	6	1
QUAL	0	682.6	16	11	5	3
QUAL	0	682.8	1	1	0	0
QUAL	0	683.0	24	17	7	0
QUAL	0	683.6	22	18	4	0
QUAL	0	684.0	24	17	7	1
QUAL	0	684.6	18	9	9	1
QUAL	0	685.0	21	16	5	0
QUAL	0	685.3	1	1	0	0
QUAL	0	685.6	17	12	5	2
QUAL	0	686.0	35	22	13	1
QUAL	0	686.6	14	11	3	1
QUAL	0	687.0	23	17	6	4
QUAL	0	687.6	16	10	6	1
QUAL	0	688.0	20	14	6	0
QUAL	0	688.6	16	11	5	2
QUAL	0	689.0	13	10	3	3
QUAL	0	689.6	15	11	4	0
QUAL	0	690.0	21	14	7	1
QUAL	0	690.6	17	14	3	1
QUAL	0	691.0	20	11	9	3
QUAL	0	691.6	17	12	5	2
QUAL	0	692.0	16	11	5	4
QUAL	0	692.6	22	17	5	3
QUAL	0	693.0	32	22	10	3
QUAL	0	693.6	19	13	6	0
QUAL	0	694.0	17	10	7	4
QUAL	0	694.6	20	14	6	2
QUAL	0	695.0	11	7	4	2
QUAL	0	695.6	22	9	13	2
QUAL	0	695.7	0	0	0	1
QUAL	0	696.0	19	12	7	3
QUAL	0	696.6	19	14	5	0
QUAL	0	697.0	20	13	7	9
QUAL	0	697.6	20	14	6	0
QUAL	0	698.0	17	7	10	3
QUAL	0	698.6	16	10	6	1
QUAL	0	699.0	25	16	9	2
QUAL	0	699.6	22	14	8	1
QUAL	0	700.0	31	23	8	4
QUAL	0	700.5	1	1	0	0
QUAL	0	700.6	23	15	8	2
QUAL	0	701.0	19	11	8	1
QUAL	0	701.6	18	14	4	3
QUAL	0	702.0	20	17	3	2
QUAL	0	702.6	23	13	10	3
QUAL	0	702.9	1	0	1	0
QUAL	0	703.0	21	17	4	0
QUAL	0	703.6	18	10	8	5
QUAL	0	704.0	25	20	5	5
QUAL	0	704.6	24	21	3	2
QUAL	0	705.0	15	6	9	3
QUAL	0	705.6	16	12	4	3
QUAL	0	706.0	39	23	16	12
QUAL	0	706.6	16	12	4	1
QUAL	0	706.8	1	0	1	1
QUAL	0	707.0	19	14	5	0
QUAL	0	707.2	1	1	0	0
QUAL	0	707.6	21	13	8	0
QUAL	0	707.9	0	0	0	1
QUAL	0	708.0	19	9	10	3
QUAL	0	708.6	14	8	6	5
QUAL	0	709.0	21	13	8	1
QUAL	0	709.6	22	12	10	1
QUAL	0	710.0	23	21	2	3
QUAL	0	710.6	23	15	8	1
QUAL	0	711.0	14	11	3	2
QUAL	0	711.6	13	7	6	1
QUAL	0	712.0	26	22	4	3
QUAL	0	712.6	16	10	6	2
QUAL	0	713.0	20	17	3	3
QUAL	0	713.6	16	14	2	2
QUAL	0	714.0	20	16	4	1
QUAL	0	714.6	21	15	6	2
QUAL	0	715.0	25	15	10	1
QUAL	0	715.6	20	15	5	0
QUAL	0	716.0	16	11	5	0
QUAL	0	716.6	14	8	6	3
QUAL	0	717.0	21	15	6	1
QUAL	0	717.6	22	14	8	3
QUAL	0	718.0	22	15	7	1
QUAL	0	718.6	16	11	5	5
QUAL	0	719.0	21	15	6	0
QUAL	0	719.6	20	13	7	1
QUAL	0	720.0	14	10	4	2
QUAL	0	720.6	16	13	3	2
QUAL	0	720.9	0	0	0	1
QUAL	0	721.0	13	10	3	3
QUAL	0	721.1	1	0	1	0
QUAL	0	721.6	19	14	5	2
QUAL	0	722.0	23	15	8	1
